title,author,description,url,isbn13,cover_image_uri,genre,text,cluster
For the Sake of Elena,elizabeth george,"Elena Weaver was a surprise to anyone meeting her for the first time. In her clingy dresses and dangling earrings she exuded a sexuality at odds with the innocence projected by the unicorn posters on her walls. While her embittered mother fretted about her welfare from her home in London, in Cambridge—where Elena was a student at St. Stephen's College—her father and his second wife each had their own very different image of the girl. As for Elena, she lived a life of casual and intense physical and emotional relationships, with scores to settle and goals to achieve--until someone, lying in wait along the route she ran every morning, bludgeoned her to death. Unwilling to turn the killing over to the local police, the university calls in New Scotland Yard. Thus, Detective Inspector Thomas Lynley and his partner, Detective Sergeant Barbara Havers, enter the rarefied world of Cambridge University, where academic gowns often hide murderous intentions. For both officers, the true identity of Elena Weaver proves elusive. Each relationship the girl left behind casts new light both on Elena and on those people who appeared to know her best—from an unsavory Swedish-born Shakespearean professor to the brooding head of the Deaf Students Union. What's more, Elena's father, a Cambridge professor under consideration for a prestigious post, is a man with his own dark secrets. While his past sins make him neurotically dedicated to Elena and blind to her blacker side, present demons drive him toward betrayal.",,9780553561272,https://via.placeholder.com/100x150?text=No+Cover,,"For the Sake of Elena. elizabeth george. . Elena Weaver was a surprise to anyone meeting her for the first time. In her clingy dresses and dangling earrings she exuded a sexuality at odds with the innocence projected by the unicorn posters on her walls. While her embittered mother fretted about her welfare from her home in London, in Cambridge—where Elena was a student at St. Stephen's College—her father and his second wife each had their own very different image of the girl. As for Elena, she lived a life of casual and intense physical and emotional relationships, with scores to settle and goals to achieve--until someone, lying in wait along the route she ran every morning, bludgeoned her to death. Unwilling to turn the killing over to the local police, the university calls in New Scotland Yard. Thus, Detective Inspector Thomas Lynley and his partner, Detective Sergeant Barbara Havers, enter the rarefied world of Cambridge University, where academic gowns often hide murderous intentions. For both officers, the true identity of Elena Weaver proves elusive. Each relationship the girl left behind casts new light both on Elena and on those people who appeared to know her best—from an unsavory Swedish-born Shakespearean professor to the brooding head of the Deaf Students Union. What's more, Elena's father, a Cambridge professor under consideration for a prestigious post, is a man with his own dark secrets. While his past sins make him neurotically dedicated to Elena and blind to her blacker side, present demons drive him toward betrayal.",0
Against Empathy,paul bloom,"“Like a tough-to-crack case against an idea that most of us have long known is key to repairing the world… will legitimately change how you think about the world and your own sense of morality.” —New York Magazine New York Post Best Book of the Year We often think of our capacity to experience the suffering of others as the ultimate source of goodness. Many of our wisest policy-makers, activists, scientists, and philosophers agree that the only problem with empathy is that we don’t have enough of it. Nothing could be farther from the truth, argues Yale researcher Paul Bloom. In AGAINST EMPATHY, Bloom reveals empathy to be one of the leading motivators of inequality and immorality in society. Far from helping us to improve the lives of others, empathy is a capricious and irrational emotion that appeals to our narrow prejudices. It muddles our judgment and, ironically, often leads to cruelty. We are at our best when we are smart enough not to rely on it, but to draw instead upon a more distanced compassion. Basing his argument on groundbreaking scientific findings, Bloom makes the case that some of the worst decisions made by individuals and nations—who to give money to, when to go to war, how to respond to climate change, and who to imprison—are too often motivated by honest, yet misplaced, emotions. With precision and wit, he demonstrates how empathy distorts our judgment in every aspect of our lives, from philanthropy and charity to the justice system; from medical care and education to parenting and marriage. Without empathy, Bloom insists, our decisions would be clearer, fairer, and—yes—ultimately more moral. Brilliantly argued, urgent and humane, AGAINST EMPATHY shows us that, when it comes to both major policy decisions and the choices we make in our everyday lives, limiting our impulse toward empathy is often the most compassionate choice we can make.",,9780062339355,https://via.placeholder.com/100x150?text=No+Cover,,"Against Empathy. paul bloom. . “Like a tough-to-crack case against an idea that most of us have long known is key to repairing the world… will legitimately change how you think about the world and your own sense of morality.” —New York Magazine New York Post Best Book of the Year We often think of our capacity to experience the suffering of others as the ultimate source of goodness. Many of our wisest policy-makers, activists, scientists, and philosophers agree that the only problem with empathy is that we don’t have enough of it. Nothing could be farther from the truth, argues Yale researcher Paul Bloom. In AGAINST EMPATHY, Bloom reveals empathy to be one of the leading motivators of inequality and immorality in society. Far from helping us to improve the lives of others, empathy is a capricious and irrational emotion that appeals to our narrow prejudices. It muddles our judgment and, ironically, often leads to cruelty. We are at our best when we are smart enough not to rely on it, but to draw instead upon a more distanced compassion. Basing his argument on groundbreaking scientific findings, Bloom makes the case that some of the worst decisions made by individuals and nations—who to give money to, when to go to war, how to respond to climate change, and who to imprison—are too often motivated by honest, yet misplaced, emotions. With precision and wit, he demonstrates how empathy distorts our judgment in every aspect of our lives, from philanthropy and charity to the justice system; from medical care and education to parenting and marriage. Without empathy, Bloom insists, our decisions would be clearer, fairer, and—yes—ultimately more moral. Brilliantly argued, urgent and humane, AGAINST EMPATHY shows us that, when it comes to both major policy decisions and the choices we make in our everyday lives, limiting our impulse toward empathy is often the most compassionate choice we can make.",0
The Plague of Fantasies,slavoj žižek,"Slavoj Zizek is, without doubt, one of the most stimulating and vibrant thinkers of our time, and his idiosyncratic blend of Lacan and Hegel is always sparkling with insight and studded with amusing stories, anecdotes and jokes. In The Plague of Fantasies Zizek approaches another enormous subject with characteristic brio and provocativeness. The current epoch is plagued by fantasms: there is an ever intensifying antagonism between the process of ever greater abstraction of our lives—whether in the form of digitalization or market relations—and the deluge of pseudo-concrete images which surround us. Traditional critical thought would have sought to trace the roots of abstract notions in concrete social reality; but today, the correct procedure is the inverse—from pseudo-concrete imagery to the abstract process which structures our lives. Ranging in his examples from national differences in toilet design to cybersex, and from intellectuals' responses to the Bosnian war to Robert Schumann's music, Zizek explores the relations between fantasy and ideology, the way in which fantasy animates enjoy-ment while protecting against its excesses, the associations of the notion of fetishism with fantasized seduction, and the ways in which digitalization and cyberspace affect the status of subjectivity. To the already initiated, The Plague of Fantasies will be a welcome reminder of why they enjoy Zizek's writing so much. For new readers, it will be the beginning of a long and meaningful relationship.",,9781859841938,https://via.placeholder.com/100x150?text=No+Cover,,"The Plague of Fantasies. slavoj žižek. . Slavoj Zizek is, without doubt, one of the most stimulating and vibrant thinkers of our time, and his idiosyncratic blend of Lacan and Hegel is always sparkling with insight and studded with amusing stories, anecdotes and jokes. In The Plague of Fantasies Zizek approaches another enormous subject with characteristic brio and provocativeness. The current epoch is plagued by fantasms: there is an ever intensifying antagonism between the process of ever greater abstraction of our lives—whether in the form of digitalization or market relations—and the deluge of pseudo-concrete images which surround us. Traditional critical thought would have sought to trace the roots of abstract notions in concrete social reality; but today, the correct procedure is the inverse—from pseudo-concrete imagery to the abstract process which structures our lives. Ranging in his examples from national differences in toilet design to cybersex, and from intellectuals' responses to the Bosnian war to Robert Schumann's music, Zizek explores the relations between fantasy and ideology, the way in which fantasy animates enjoy-ment while protecting against its excesses, the associations of the notion of fetishism with fantasized seduction, and the ways in which digitalization and cyberspace affect the status of subjectivity. To the already initiated, The Plague of Fantasies will be a welcome reminder of why they enjoy Zizek's writing so much. For new readers, it will be the beginning of a long and meaningful relationship.",0
Martin Eden by Jack London,jack london,"First serialized in 1908, ""Martin Eden"" is Jack London's classic and tragic tale of its title character and his struggle to become a writer. Martin Eden is an idealistic and self-educated young man who struggles to overcome poverty and a lack of opportunities in a quest to become an educated and successful artist. He hopes to find acceptance in the world of the wealthy and refined, though he finds it hard to shake off his coarse working-class background. Eden falls in love with Ruth Morse, but he feels that he is not good enough to win her hand, as she comes from a bourgeois family. Eden hopes that she will wait for him while he seeks to establish himself as a successful writer and improve his social status so that he may one day feel worthy of his true love. The novel is heartbreaking, tragic, and rich with the themes of class struggle and prejudice. It is also hopeful in its faith in art to transform lives and has inspired countless young writers and artists to follow their dreams. ""Martin Eden"" remains one of Jack London's best-loved works. This edition is printed on premium acid-free paper.",,9798552930869,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1452291694i/1852.jpg,"'Adventure', 'Animals', 'Classics', 'Historical Fiction', 'Literature'], 'Young Adult', ['Fiction', nan","Martin Eden by Jack London. jack london. 'Adventure', 'Animals', 'Classics', 'Historical Fiction', 'Literature'], 'Young Adult', ['Fiction', nan. First serialized in 1908, ""Martin Eden"" is Jack London's classic and tragic tale of its title character and his struggle to become a writer. Martin Eden is an idealistic and self-educated young man who struggles to overcome poverty and a lack of opportunities in a quest to become an educated and successful artist. He hopes to find acceptance in the world of the wealthy and refined, though he finds it hard to shake off his coarse working-class background. Eden falls in love with Ruth Morse, but he feels that he is not good enough to win her hand, as she comes from a bourgeois family. Eden hopes that she will wait for him while he seeks to establish himself as a successful writer and improve his social status so that he may one day feel worthy of his true love. The novel is heartbreaking, tragic, and rich with the themes of class struggle and prejudice. It is also hopeful in its faith in art to transform lives and has inspired countless young writers and artists to follow their dreams. ""Martin Eden"" remains one of Jack London's best-loved works. This edition is printed on premium acid-free paper.",0
The Picture of Dorian Gray Illustrated,oscar wilde,"The Picture of Dorian Gray is a Gothic and philosophical novel by Oscar Wilde, first published complete in the July 1890 issue of Lippincott's Monthly Magazine.Fearing the story was indecent, the magazine's editor deleted roughly five hundred words before publication without Wilde's knowledge. Despite that censorship, The Picture of Dorian Gray offended the moral sensibilities of British book reviewers, some of whom said that Oscar Wilde merited prosecution for violating the laws guarding public morality. In response, Wilde aggressively defended his novel and art in correspondence with the British press, although he personally made excisions of some of the most controversial material when revising and lengthening the story for book publication the following year.",,9798673267806,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389451534i/6411433.jpg,"'Fantasy', 'Fiction', 'Gothic', 'Horror', 'Literature', 'Novels'], ['Classics', nan","The Picture of Dorian Gray Illustrated. oscar wilde. 'Fantasy', 'Fiction', 'Gothic', 'Horror', 'Literature', 'Novels'], ['Classics', nan. The Picture of Dorian Gray is a Gothic and philosophical novel by Oscar Wilde, first published complete in the July 1890 issue of Lippincott's Monthly Magazine.Fearing the story was indecent, the magazine's editor deleted roughly five hundred words before publication without Wilde's knowledge. Despite that censorship, The Picture of Dorian Gray offended the moral sensibilities of British book reviewers, some of whom said that Oscar Wilde merited prosecution for violating the laws guarding public morality. In response, Wilde aggressively defended his novel and art in correspondence with the British press, although he personally made excisions of some of the most controversial material when revising and lengthening the story for book publication the following year.",0
All Around the Moon (illustrated Edition),jules verne,"Around the Moon, also translated as Circling the Moon and All Around the Moon, is the sequel to Jules Verne's 1865 novel, From the Earth to the Moon. It's a science fiction tale which continues the trip to the moon that was only begun in the first novel.",,9798733407074,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389545038i/32827.jpg,"'Adventure', 'Classics', 'Fantasy', 'Fiction', 'France', 'Literature'], ['Science Fiction', nan","All Around the Moon (illustrated Edition). jules verne. 'Adventure', 'Classics', 'Fantasy', 'Fiction', 'France', 'Literature'], ['Science Fiction', nan. Around the Moon, also translated as Circling the Moon and All Around the Moon, is the sequel to Jules Verne's 1865 novel, From the Earth to the Moon. It's a science fiction tale which continues the trip to the moon that was only begun in the first novel.",3
A Christmas Carol Illustrated,charles dickens,"""A Christmas Carol. In Prose. Being a Ghost Story of Christmas, commonly known as A Christmas Carol, is a novella by Charles Dickens, first published in London by Chapman & Hall in 1843 and illustrated by John Leech. A Christmas Carol recounts the story of Ebenezer Scrooge, an elderly miser who is visited by the ghost of his former business partner Jacob Marley and the spirits of Christmas Past, Present and Yet to Come. After their visits, Scrooge is transformed into a kinder, gentler man.Dickens wrote A Christmas Carol during a period when the British were exploring and re-evaluating past Christmas traditions, including carols and newer customs such as Christmas trees. He was influenced by the experiences of his own youth and by the Christmas stories of other authors including Washington Irving and Douglas Jerrold. Dickens had written three Christmas stories prior to the novella, and was inspired following a visit to the Field Lane Ragged School, one of several establishments for London's street children. The treatment of the poor and the ability of a selfish man to redeem himself by transforming into a more sympathetic character are the key themes of the story. There is discussion among academics as to whether this was a fully secular story, or if it is a Christian allegory.""",,9798664564921,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg,"'Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Novels', 'School'], ['Classics', nan","A Christmas Carol Illustrated. charles dickens. 'Fiction', 'Historical Fiction', 'Historical', 'Literature', 'Novels', 'School'], ['Classics', nan. ""A Christmas Carol. In Prose. Being a Ghost Story of Christmas, commonly known as A Christmas Carol, is a novella by Charles Dickens, first published in London by Chapman & Hall in 1843 and illustrated by John Leech. A Christmas Carol recounts the story of Ebenezer Scrooge, an elderly miser who is visited by the ghost of his former business partner Jacob Marley and the spirits of Christmas Past, Present and Yet to Come. After their visits, Scrooge is transformed into a kinder, gentler man.Dickens wrote A Christmas Carol during a period when the British were exploring and re-evaluating past Christmas traditions, including carols and newer customs such as Christmas trees. He was influenced by the experiences of his own youth and by the Christmas stories of other authors including Washington Irving and Douglas Jerrold. Dickens had written three Christmas stories prior to the novella, and was inspired following a visit to the Field Lane Ragged School, one of several establishments for London's street children. The treatment of the poor and the ability of a selfish man to redeem himself by transforming into a more sympathetic character are the key themes of the story. There is discussion among academics as to whether this was a fully secular story, or if it is a Christian allegory.""",0
Encyclopedia of 20th-century Technology,unknown,,,9781579583866,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375601632i/7100277.jpg,"'Classics', 'Historical', 'History', 'Mystery', 'Nonfiction', 'Occult'], ['Art', nan","Encyclopedia of 20th-century Technology. unknown. 'Classics', 'Historical', 'History', 'Mystery', 'Nonfiction', 'Occult'], ['Art', nan. ",2
a woman of no importance,oscar wilde,Free kindle book and epub digitized and proofread by volunteers.,https://www.gutenberg.org/ebooks/854,a woman of no importanceoscar wilde,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1363935696i/45685.jpg,"'Fantasy', 'Fiction', 'Gothic'], 'Horror', 'Humor', 'Short Stories', ['Classics', nan","a woman of no importance. oscar wilde. 'Fantasy', 'Fiction', 'Gothic'], 'Horror', 'Humor', 'Short Stories', ['Classics', nan. Free kindle book and epub digitized and proofread by volunteers.",8
the art of music vol 03 of 14   modern music,unknown,Free kindle book and epub digitized and proofread by volunteers.,https://www.gutenberg.org/ebooks/68990,the art of music vol 03 of 14   modern musicunknown,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375601632i/7100277.jpg,"'Classics', 'Historical', 'History', 'Mystery', 'Nonfiction', 'Occult'], ['Art', nan","the art of music vol 03 of 14   modern music. unknown. 'Classics', 'Historical', 'History', 'Mystery', 'Nonfiction', 'Occult'], ['Art', nan. Free kindle book and epub digitized and proofread by volunteers.",2
The End of Work,jeremy rifkin,"In this compelling, disturbing, and ultimately hopeful book, Jeremy Rifkin argues that we are entering a new phase in history - one characterised by the steady and inevitable decline of jobs.",,9780874777796,https://via.placeholder.com/100x150?text=No+Cover,,"The End of Work. jeremy rifkin. . In this compelling, disturbing, and ultimately hopeful book, Jeremy Rifkin argues that we are entering a new phase in history - one characterised by the steady and inevitable decline of jobs.",0
childrens hour with red riding hood and other stories,unknown,Free kindle book and epub digitized and proofread by volunteers.,https://www.gutenberg.org/ebooks/11592,childrens hour with red riding hood and other storiesunknown,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375601632i/7100277.jpg,"'Classics', 'Historical', 'History', 'Mystery', 'Nonfiction', 'Occult'], ['Art', nan","childrens hour with red riding hood and other stories. unknown. 'Classics', 'Historical', 'History', 'Mystery', 'Nonfiction', 'Occult'], ['Art', nan. Free kindle book and epub digitized and proofread by volunteers.",2
Splintering Urbanism,"stephen graham, simon marvin","This text offers an international and interdisciplinary analysis of the complex interactions between infrastructure networks and urban spaces. Drawing on case studies and examples from across the globe, it offers a statement on the urban condition.",,9780415189644,https://via.placeholder.com/100x150?text=No+Cover,,"Splintering Urbanism. stephen graham, simon marvin. . This text offers an international and interdisciplinary analysis of the complex interactions between infrastructure networks and urban spaces. Drawing on case studies and examples from across the globe, it offers a statement on the urban condition.",0
The Divine Comedy Illustrated,dante alighieri,"The Divine Comedy (Italian: Divina Commedia) is a long Italian narrative poem by Dante Alighieri, begun c. 1308 and completed in 1320, a year before his death in 1321. It is widely considered to be the pre-eminent work in Italian literature and one of the greatest works of world literature. The poem's imaginative vision of the afterlife is representative of the medieval world-view as it had developed in the Western Church by the 14th century. It helped establish the Tuscan language, in which it is written (also in most present-day Italian-market editions), as the standardized Italian language. It is divided into three parts: Inferno, Purgatorio, and Paradiso.",,9798743069774,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657540227i/6656.jpg,"'Fantasy'], 'Fiction', 'Literature', 'Philosophy', 'Poetry', 'Religion', ['Classics', nan","The Divine Comedy Illustrated. dante alighieri. 'Fantasy'], 'Fiction', 'Literature', 'Philosophy', 'Poetry', 'Religion', ['Classics', nan. The Divine Comedy (Italian: Divina Commedia) is a long Italian narrative poem by Dante Alighieri, begun c. 1308 and completed in 1320, a year before his death in 1321. It is widely considered to be the pre-eminent work in Italian literature and one of the greatest works of world literature. The poem's imaginative vision of the afterlife is representative of the medieval world-view as it had developed in the Western Church by the 14th century. It helped establish the Tuscan language, in which it is written (also in most present-day Italian-market editions), as the standardized Italian language. It is divided into three parts: Inferno, Purgatorio, and Paradiso.",0
Freeze-drying of Pharmaceuticals and Biopharmaceuticals,"felix franks, tony auffret","Freeze-drying, in the past popular in the food industry, has more recently been adopted by the pharmaceutical industry as a standard method for the production of stable solid preparations. Freeze-drying of Pharmaceuticals and Biopharmaceuticals is the first book to specifically describe this process, as related to the pharmaceutical industry. The emphasis of this book is on the properties of the materials processed, how effective formulations are arrived at, and how they are stored and marketed. Beginning with a historical overview of the process, Freeze-drying of Pharmaceuticals and Biopharmaceuticals briefly describes the processes and equipment involved, including: the physics, chemistry and biochemistry associated with freezing, aspects of formulation development, primary and secondary drying; the economics and engineering of scaling up; and, most importantly, attributes of the dried product. It also discusses in detail the science behind freeze-drying, such as the properties of crystalline and amorphous solids. The book concludes with selected case studies and discusses the future of freeze-drying, advances in alternative drying methods, and concludes with an extensive bibliography. This book, written by a leading expert in the field, is aimed primarily at product and process developers in the biopharmaceutical industry and academia. Extract from a review: .."".this book is a very useful and thorough overview of the processes in operation during freezing and lyophilization and should be read by all those who are interested in freeze drying and pharmaceutical formulation design. I certainly will be returning to it as an excellent summary of these important issues."" CryoLetters, c/o Royal Veterinary College, London, UK",,9780854041510,https://via.placeholder.com/100x150?text=No+Cover,,"Freeze-drying of Pharmaceuticals and Biopharmaceuticals. felix franks, tony auffret. . Freeze-drying, in the past popular in the food industry, has more recently been adopted by the pharmaceutical industry as a standard method for the production of stable solid preparations. Freeze-drying of Pharmaceuticals and Biopharmaceuticals is the first book to specifically describe this process, as related to the pharmaceutical industry. The emphasis of this book is on the properties of the materials processed, how effective formulations are arrived at, and how they are stored and marketed. Beginning with a historical overview of the process, Freeze-drying of Pharmaceuticals and Biopharmaceuticals briefly describes the processes and equipment involved, including: the physics, chemistry and biochemistry associated with freezing, aspects of formulation development, primary and secondary drying; the economics and engineering of scaling up; and, most importantly, attributes of the dried product. It also discusses in detail the science behind freeze-drying, such as the properties of crystalline and amorphous solids. The book concludes with selected case studies and discusses the future of freeze-drying, advances in alternative drying methods, and concludes with an extensive bibliography. This book, written by a leading expert in the field, is aimed primarily at product and process developers in the biopharmaceutical industry and academia. Extract from a review: .."".this book is a very useful and thorough overview of the processes in operation during freezing and lyophilization and should be read by all those who are interested in freeze drying and pharmaceutical formulation design. I certainly will be returning to it as an excellent summary of these important issues."" CryoLetters, c/o Royal Veterinary College, London, UK",0
The Art of War Annotated,sun tzu,"The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period (roughly 5th century BC). The work, which is attributed to the ancient Chinese military strategist Sun Tzu (""Master Sun"", also spelled Sunzi), is composed of 13 chapters. Each one is devoted to an aspect of warfare and how it applies to military strategy and tactics. For almost 1,500 years it was the lead text in an anthology that would be formalised as the Seven Military Classics by Emperor Shenzong of Song in 1080. The Art of War remains the most influential strategy text in East Asian warfare[1] and has influenced both Eastern and Western military thinking, business tactics, legal strategy, lifestyles and beyond.",,9798670233521,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630683326i/10534.jpg,"'Business', 'Classics', 'History', 'Military Fiction'], 'Philosophy', 'War', ['Nonfiction', nan","The Art of War Annotated. sun tzu. 'Business', 'Classics', 'History', 'Military Fiction'], 'Philosophy', 'War', ['Nonfiction', nan. The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period (roughly 5th century BC). The work, which is attributed to the ancient Chinese military strategist Sun Tzu (""Master Sun"", also spelled Sunzi), is composed of 13 chapters. Each one is devoted to an aspect of warfare and how it applies to military strategy and tactics. For almost 1,500 years it was the lead text in an anthology that would be formalised as the Seven Military Classics by Emperor Shenzong of Song in 1080. The Art of War remains the most influential strategy text in East Asian warfare[1] and has influenced both Eastern and Western military thinking, business tactics, legal strategy, lifestyles and beyond.",0
Lucinda's Secret,"tony diterlizzi, holly black","With goblins, trolls, and the house boggart all trying to get them, the Grace children turn to Great Aunt Lucinda for help.",,9780689859380,https://via.placeholder.com/100x150?text=No+Cover,,"Lucinda's Secret. tony diterlizzi, holly black. . With goblins, trolls, and the house boggart all trying to get them, the Grace children turn to Great Aunt Lucinda for help.",0
Flush: a Biography,virginia woolf,"Flush: A Biography, an imaginative biography of Elizabeth Barrett Browning's cocker spaniel, is a cross-genre blend of fiction and nonfiction.Commonly read as a modernist consideration of city life seen through the eyes of a dog, Flush serves as a harsh criticism of the supposedly unnatural ways of living in the city. The figure of Elizabeth Barrett Browning in the text is often read as an analogue for other female intellectuals, like Woolf herself, who suffered from illness, feigned or real, as a part of their status as female writers. Most insightful and experimental are Woolf's emotional and philosophical views verbalized in Flush's thoughts. As he spends more time with Barrett Browning, Flush becomes emotionally and spiritually connected to the poetess and both begin to understand each other despite their language barriers.",,9798642328644,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1486619020i/18852.jpg,"'20th Century'], 'British Literature', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', ['Classics', nan","Flush: a Biography. virginia woolf. '20th Century'], 'British Literature', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', ['Classics', nan. Flush: A Biography, an imaginative biography of Elizabeth Barrett Browning's cocker spaniel, is a cross-genre blend of fiction and nonfiction.Commonly read as a modernist consideration of city life seen through the eyes of a dog, Flush serves as a harsh criticism of the supposedly unnatural ways of living in the city. The figure of Elizabeth Barrett Browning in the text is often read as an analogue for other female intellectuals, like Woolf herself, who suffered from illness, feigned or real, as a part of their status as female writers. Most insightful and experimental are Woolf's emotional and philosophical views verbalized in Flush's thoughts. As he spends more time with Barrett Browning, Flush becomes emotionally and spiritually connected to the poetess and both begin to understand each other despite their language barriers.",0
The Cambridge Ancient History,"john boardman, j. a. crook, andrew lintott, elizabeth rawson",This volume of 'The Cambridge Ancient History' embraces the wide range of approaches and scholarships which have in recent decades transformed our view of late antiquity.,,9780521256032,https://via.placeholder.com/100x150?text=No+Cover,,"The Cambridge Ancient History. john boardman, j. a. crook, andrew lintott, elizabeth rawson. . This volume of 'The Cambridge Ancient History' embraces the wide range of approaches and scholarships which have in recent decades transformed our view of late antiquity.",0
The Discarded Image,c. s. lewis,"Hailed as ""the final memorial to the work of a great scholar and teacher and a wise and noble mind,"" this work paints a lucid picture of the medieval world view, as historical and cultural background to the literature of the Middle Ages and Renaissance.",,9780521477352,https://via.placeholder.com/100x150?text=No+Cover,,"The Discarded Image. c. s. lewis. . Hailed as ""the final memorial to the work of a great scholar and teacher and a wise and noble mind,"" this work paints a lucid picture of the medieval world view, as historical and cultural background to the literature of the Middle Ages and Renaissance.",0
The Chimes Illustrated,charles dickens,"The Chimes: A Goblin Story of Some Bells that Rang an Old Year Out and a New Year In, commonly referred to as The Chimes, is a novella written by Charles Dickens and first published in 1844, one year after A Christmas Carol. It is the second in his series of ""Christmas books,"" five novellas with strong social and moral messages that he published during the 1840s. In addition to A Christmas Carol and The Chimes, the Christmas books include The Cricket on the Hearth (1845), The Battle of Life (1846), and The Haunted Man and the Ghost's Bargain (1848).",,9798561744921,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320513735i/50827.jpg,"'19th Century', 'British Literature'], 'Fiction', 'Historical Fiction', 'Literature', 'Victorian', ['Classics', nan","The Chimes Illustrated. charles dickens. '19th Century', 'British Literature'], 'Fiction', 'Historical Fiction', 'Literature', 'Victorian', ['Classics', nan. The Chimes: A Goblin Story of Some Bells that Rang an Old Year Out and a New Year In, commonly referred to as The Chimes, is a novella written by Charles Dickens and first published in 1844, one year after A Christmas Carol. It is the second in his series of ""Christmas books,"" five novellas with strong social and moral messages that he published during the 1840s. In addition to A Christmas Carol and The Chimes, the Christmas books include The Cricket on the Hearth (1845), The Battle of Life (1846), and The Haunted Man and the Ghost's Bargain (1848).",7
Chinese Civilization,patricia buckley ebrey,"Chinese Civilization sets the standard for supplementary texts in Chinese history courses. With newly expanded material, personal documents, social records, laws, and documents that historians mistakenly ignore, the sixth edition is even more useful than its classic predecessor. A complete and thorough introduction to Chinese history and culture.",,9781439188392,https://via.placeholder.com/100x150?text=No+Cover,,"Chinese Civilization. patricia buckley ebrey. . Chinese Civilization sets the standard for supplementary texts in Chinese history courses. With newly expanded material, personal documents, social records, laws, and documents that historians mistakenly ignore, the sixth edition is even more useful than its classic predecessor. A complete and thorough introduction to Chinese history and culture.",0
The Descent of Man and Selection in Relation to Sex,charles darwin,"Published in 1871 by Charles Darwin, this Book bring remarkable topics of naturalist science. Edition: Paperback, comforbatble read. Editor: Luiz Gustavo Batista Ferreira, Master of Science (MSc.)",,9798669181178,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298417570i/22463.jpg,"'Biology', 'Classics', 'Evolution', 'History'], 'Nonfiction', 'Philosophy', ['Science', nan","The Descent of Man and Selection in Relation to Sex. charles darwin. 'Biology', 'Classics', 'Evolution', 'History'], 'Nonfiction', 'Philosophy', ['Science', nan. Published in 1871 by Charles Darwin, this Book bring remarkable topics of naturalist science. Edition: Paperback, comforbatble read. Editor: Luiz Gustavo Batista Ferreira, Master of Science (MSc.)",6
Homo Faber,max frisch,,,9780413314901,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1184191938i/1491384.jpg,"'Classics', 'Contemporary', 'German Literature', 'Literature', 'New York'], 'Novels', ['Fiction', nan","Homo Faber. max frisch. 'Classics', 'Contemporary', 'German Literature', 'Literature', 'New York'], 'Novels', ['Fiction', nan. ",7
"The Lives of the Noble Grecians and Romaines,",plutarch,,,"The Lives of the Noble Grecians and Romaines,plutarch",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320467566i/415634.jpg,"'Ancient History', 'Ancient'], 'Biography', 'Classics', 'Nonfiction', 'Philosophy', ['History', nan","The Lives of the Noble Grecians and Romaines,. plutarch. 'Ancient History', 'Ancient'], 'Biography', 'Classics', 'Nonfiction', 'Philosophy', ['History', nan. ",6
The Lives of the Noble Grecians and Romanes,plutarch,,,The Lives of the Noble Grecians and Romanesplutarch,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320467566i/415634.jpg,"'Ancient History', 'Ancient'], 'Biography', 'Classics', 'Nonfiction', 'Philosophy', ['History', nan","The Lives of the Noble Grecians and Romanes. plutarch. 'Ancient History', 'Ancient'], 'Biography', 'Classics', 'Nonfiction', 'Philosophy', ['History', nan. ",6
Plutarch's Lives,plutarch,,,Plutarch's Livesplutarch,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320467566i/415634.jpg,"'Ancient History', 'Ancient'], 'Biography', 'Classics', 'Nonfiction', 'Philosophy', ['History', nan","Plutarch's Lives. plutarch. 'Ancient History', 'Ancient'], 'Biography', 'Classics', 'Nonfiction', 'Philosophy', ['History', nan. ",6
